,Tweets,len,ID,Date,Source,Likes,coordinates,timestamp,SA
115,"RT @JuntsXCat: ?? @jordialapreso: ""Només la victòria del #president @KRLS mostrarà al món la insubornable voluntat de Catalunya""

? Entrevi…",140,941620416946241536,2017-12-15 10:46:16,Twitter for Android,0,,2017-12-15,0
116,"RT @JuntsXCat: @joseprull @HoyPorHoy ??#conseller @joseprull a @HoyPorHoy: ""Convocar un referèndum a Espanya no és un delicte i a nosaltres…",140,941620348541374464,2017-12-15 10:46:00,Twitter for Android,0,,2017-12-15,0
117,"RT @jordialapreso: Aquestes 60 nits dormint a la presó, apartat de la Susanna i els meus fills, lluny de Catalunya, em fan més fort, hi vei…",140,941620289481400320,2017-12-15 10:45:46,Twitter for Android,0,,2017-12-15,0
118,"RT @espremulla: Avui fa DOS MESOS de l’ignominiós empresonament preventiu per motius polítics de dos homes justos, bons i pacífics! Exigim…",139,941619938229456896,2017-12-15 10:44:22,Twitter for Android,0,,2017-12-15,0
119,Colpit per les terribles notícies que ens arriben de #Millars. La meva solidaritat i afecte pels familiars de les v… https://t.co/FWQhApZP9l,140,941359484634587137,2017-12-14 17:29:25,Twitter for Android,7742,,2017-12-14,0
120,Amb el 155 cal jurar la Constitució per comprar un estetoscopi https://t.co/UGlGCmFfK9 #JuntsxCat https://t.co/rEivl9B6gM,121,941300046590545921,2017-12-14 13:33:14,Twitter for Android,3190,,2017-12-14,0
121,"RT @JuntsXCat: ? Demà vine a l'acte central de campanya amb el #president @KRLS i @jordialapreso! A les 19.30h, al Pavelló Municipal d'Espo…",140,941275866822250496,2017-12-14 11:57:09,Twitter for Android,0,,2017-12-14,0
122,"RT @PuigGordi: Avui m’ha tocat a mi... us adjunto l’entrevista per si us plau fer-hi una llegida. Apa, bon dia i a treballar, que tot està…",139,941235131066585089,2017-12-14 09:15:17,Twitter for Android,0,,2017-12-14,0
123,"RT @ClaraPonsati: Ens han advertit que depèn de com ens expressem podem tornar a la presó. Sensacional entrevista a @joseprull , llegiu-la.…",140,941235115476291585,2017-12-14 09:15:13,Twitter for Android,0,,2017-12-14,0
124,RT @sergimulero: L’Ajuntament de Dublín aprova hissar la bandera de Catalunya durant un mes en solidaritat amb Barcelona per la repressió p…,140,941235088506916864,2017-12-14 09:15:07,Twitter for Android,0,,2017-12-14,0
125,"Vull compartir amb tots vosaltres la carta de l'Oriol @junqueras. La seva situació, com la del @jordialapreso, en… https://t.co/WzHoROb2zV",138,941068679416107008,2017-12-13 22:13:52,Twitter for Android,13415,,2017-12-13,0
